,FEATURE REQUEST,DuplicatedCode,LargeClass,LongMethod,ExtractInterface,ExtractMethod,ExtractSuperclass,InlineMethod,MoveAndRenameClass,MoveAttribute,MoveClass,MoveMethod,PullUpAttribute,PullUpMethod,PushDownAttribute,PushDownMethod,RenameClass,RenameMethod
12,lazy  evaluate  rexcall  digest  currently  rexcall  compute  digest  eagerly  constructor  also  compute  digest  every  time  tostring  invoked  may  cause  performance  issue  rexcall  tree  large,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,standardize  code  style  import  package  house  style  specify  whetherwhen  import  converted  star  propose  import  converted  star  3  package  thus  code  import  abc1  import  abc2  import  abc3  code  becomes  code  import  ab  code  abc4  added  consistent  intellijs  default  rule  ok  use  star  3  fewer  us  thus  removing  use  abc2  would  require  import  changed  checkstyle  rule  ban  star  import  excluding  certain  package  allow  limited  particular  number,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
14,add  statistic  spi  lattice  optimization  algorithm  optiq427  added  optimization  algorithm  choose  initial  set  tile  materialize  rowcountestimate  attribute  number  row  lattice  add  spi  generate  estimate  number  row  lattice  b  number  row  given  tile  lattice  specified  dimension  also  add  default  implementation  spi  executes  sql  query  cache  result  us  kind  approximation  cardinality  set  attribute  eg  quarter  4  distinct  value  year  10  distinct  value  year  quarter  40  distinct  value  perhaps  expectation  3979  distinct  value  table  3650  row  per  formula  n  1  n  1  n  p  implementation  read  stats  external  stats  table  execute  sql  sample  small  percentage  row  would  also  possible,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
15,make  parser  accept  configurable  max  length  sql  identifier  calcite  currently  us  128  maximum  length  sql  identifier  would  like  enhance  sql  parser  system  able  choose  identifier  max  length  following  discussion  copied  dev  mailing  list  jinfeng  calcite  formly  optiq  set  maximum  length  sql  identifier  128  sound  quite  reasonable  ordinary  sql  identifier  however  system  like  drill  allows  user  query  file  directly  quite  likely  run  allowed  identifier  length  drill  allows  use  case  select  dfsschemadirectory1directory2filenamejson  directory  plus  filename  parsed  sql  identifer  since  many  file  system  would  allow  file  name  255  byte  1  likely  user  could  use  identifier  128  byte  query  file  directly  would  like  ask  calcite  community  whether  performance  impact  bump  maximum  length  sql  identifier  negligible  performance  impact  make  maximum  length  configurable  sql  parser  could  make  slightly  modification  combinedparserjj  template  allow  system  set  max  length  default  still  128  approach  allow  configurable  setting  seems  match  postgres  2  allows  length  raised  changing  namedatalen  constant  srcincludepgconfigmanualh  2  julian  system  able  choose  identifier  max  length  iâ€™d  prefer  make  configurable  runtime  test  add  extra  parameter  sqlparserâ€™s  constructor  call  parsersetidentifiermaxlength  similar  call  setquotedcasing  right  want  go  create  interface  sqlparserconfig  int  identifiermaxlength  casing  quotedcasing  casing  unquotedcasing  replace  parameter  sqlparserâ€™s  constructor  one  config  parameter,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
16,use  usergiven  name  reloptutilcreateproject  createrename  0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,allow  tablemacro  consume  map  collection  actually  possible  pas  tablemacro  smth  like  codetablemytablesimplename  map  key  value  anotherkey  anothervalue  code  sqluserdefinedtablemacroconvertarguments  lead  illegalargumentexception  argument  call  macro  xxx  literal,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,add  reldistribution  trait  exchange  relational  expression  calcite  increasingly  targeting  support  distributed  execution  engine  distributed  sql  engine  shuffleexchange  operator  shuffle  data  deamons  runtime  system  useful  add  notion  shuffle  relnode  first  class  citizen  calcite,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
19,add  avatica  support  gettables  per  title,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20,connection  isolation  avatica  client  avatica  manage  independent  connection  underlying  data  source  client  connection  client  isolated  one  statement  dont  collide  anothers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
21,pas  serverside  exception  back  client  avatica  rpc  response  object  contain  exception  field  deserialized  rethrown  client  side  way  client  see  stack  trace  meaningful  500  error,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22,implement  connectionsync  rpc  per  thread  dev  list  titled  avatica  handling  connection  state  ticket  implement  rpc,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,dml  avatica  split  execute  fetch  request  0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
24,use  factory  materializationservice  create  table  follow  conversationhttpsmailarchivesapacheorgmodmboxincubatorcalcitedev201503mbox3ccang6qpx7elmurkxrty09ygw7gchmnrssdnrcqend3z3djcx3dgg40mailgmailcom3e  two  task  1  use  factory  create  table  represent  materialized  view  2  add  entry  schema  materialized  table  created  definematerialization  ill  open  wip  progress  soon  1  easy  implement  2  proving  hard  rest  code  requires  calciteschematableentry  object  available  table  added  schema  dont  know  get  object  existing  entry,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,commit  functionality  exposed  rpc  server  seems  commitrollback  functionality  exposed  rpc  server  mean  usable  autocommit  mode  avatica  doesnt  concept  commit  rpc  remote  jdbc  connection  raise  exception  calling  commit  phoenix  native  jdbc  connection  implement  commit  rpc  need  extended  allow  calling  remotely  easiest  way  test  autocommit  commit  fails  sqlinethinpy  work  sqlinepy,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,provide  way  avatica  client  query  server  version  currently  doesnt  seem  way  avatica  client  find  avatica  rpc  protocol  version  version  server  component  use  case  allow  apache  phoenix  client  request  avatica  version  phoenix  version  hbase  version  phoenix  query  server,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27,register  combination  materialization  substitution  query  multiple  table  reference  could  1  multiple  combination  substituted  rels  one  materialization  applicable  one  subtree  2  multiple  combination  substituted  rels  different  materialization  applicable  different  subtrees  respectively  code  test  public  void  testsinglematerializationmultiusage  string  q  select  n  select  emps  empid  300n  join  select  emps  empid  200  using  empid  try  preparethreadtrimsettrue  materializationservicesetthreadlocal  calciteassertthat  withmaterializationsjdbctesthrmodel  m0  select  emps  empid  500  queryq  enablematerializationstrue  explainmatches  new  functionresultset  void  public  void  applyresultset  try  final  string  actual  utiltolinuxcalciteasserttostrings  final  string  scan  enumerabletablescantablehr  m0  asserttrueactual  two  occurrence  scan  stringutilscountmatchesactual  scan  2  return  null  catch  sqlexception  e  throw  new  runtimeexceptione  sameresultwithmaterializationsdisabled  finally  preparethreadtrimsetfalse  test  public  void  testmultimaterializationmultiusage  string  q  select  n  select  emps  empid  300n  join  select  emps  deptno  10  using  empid  try  preparethreadtrimsettrue  materializationservicesetthreadlocal  calciteassertthat  withmaterializationsjdbctesthrmodel  m0  select  emps  empid  500  m1  select  emps  deptno  20  queryq  enablematerializationstrue  explaincontainsenumerabletablescantablehr  m0  explaincontainsenumerabletablescantablehr  m1  sameresultwithmaterializationsdisabled  finally  preparethreadtrimsetfalse  code,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,enable  client  recover  missing  serverside  state  deploying  one  instance  avaticaserver  desire  treat  collection  server  single  server  ideally  want  avaticaclient  operate  manner  doesnt  expect  server  specific  state  example  avaticaclient  able  know  server  doesnt  statement  id  client  think  client  create  new  statement  desirable  allows  u  use  generic  loadbalancer  client  server  without  need  clustering  sticky  session  downside  face  failure  operation  take  longer  normal  even  performance  hit  long  avaticaserver  exists  client  still  retrieve  result  query  ideal  tldr  take  longer  client  still  get  answer  two  major  area  need  addressed  presently  1  automatic  recreation  statement  cached  2  recreation  resultsets  resume  iteration  fetch  depends  stable  result  underlying  jdbc  driver  otherwise  external  synchronization  would  required  considered  prerequisite,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
29,pas  url  connection  property  avatica  server  ticket  proposes  ability  pas  connectioncreationtime  property  info  remote  avatica  driver  avatica  server  use  case  phoenix  property  like  currentscn  tenantid  similar  usecases  custom  driver  company  work  user  password  property  enables  authentication  cfr  calcite519  calcite643  see  also  discussion  mailing  list  httpmailarchivesapacheorgmodmboxincubatorcalcitedev201510mbox3ccaaf1jdizbrumfo2cfruoxphbbf3dyq5t2bd2b1ig1fzknvdj8rgoa40mailgmailcom3e  thing  consider  remote  driver  might  property  like  url  passed  server  remote  driver  responsible  removing  server  might  want  disallow  setting  property  remotely  eg  allow  connect  different  database  currently  avatica  server  creates  default  connection  though  marked  removal  using  authentication  particularly  annoying  since  need  start  server  url  containing  user  password  attach  patch  based  calcite  14  add  ability  pas  property  part  new  openconnectionrequest  rpc  call  creationconnetionrequest  proposed  different  reason  calcite663  authentication  reason  mentioned  default  connection  also  dropped  one  jdbcmeta  instance  server  side  manages  map  connection  since  connection  already  created  per  clientside  connection  different  except  connection  created  explicitly  implicit  connection  creation  dropped  look  autorecreation  connection  part  recovery  calcite903  somewhat  hacky  thing  patch  addition  avaticaconnectionsetid  let  server  decide  connection  id  seemed  logical  first  though  easily  reversed  remotedriver  creates  extra  service  instance  able  openconnection  request  request  happen  within  remotemeta  patch  also  pass  error  message  back  client  simple  improvement  towards  calcite645  call  metadata  getcolumns  also  connection  id  fixing  calcite871  becomes  easy  patch  ready  well  patch  acceptable  rework  master  14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,match  materialized  view  predicate  contain  string  range  continuation  calcite786  query  optimized  using  materialized  view  earlier  supporting  predicate  specifying  range  variable  eg  x  90  x  30  would  able  optimize  even  predicate  used  either  query  specify  view  also  adding  support  string  optimization,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,make  httpserver  configurable  met  case  increase  requestheadersize  currently  possible,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,organize  applicable  materialization  reversed  topological  order  calcite890  try  applying  materialization  possible  substitution  combination  work  fine  applicable  materialization  independent  dependent  materialization  order  materialization  perform  substitution  matter  example  table  b  materialization  table  c  us  another  materialization  table  us  table  c  b  thus  apply  materialization  c  applying  materialization  right  output  applicable  materialization  list  iterate  input  materialization  list  could  random  order  actually  directed  graph  used  find  applicable  materialization  also  take  advantage  graph  organize  desired  order,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,support  stream  join  stream  join  used  relate  information  different  stream  stream  relation  combination  calcite  lack  proper  support  streamtorelation  join  streamtostream  join  streamtorelation  join  like  fails  sql  validation  stage  select  stream  ordersorderid  ordersproductid  productsname  order  join  product  ordersproductid  productsid  product  stream  query  valid  according  calcite  even  though  streamtostream  join  query  valid  due  unbounded  nature  stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,provide  generic  server  metadata  response  follow  calcite903  assumption  work  common  case  running  behind  loadbalancer  given  client  would  continue  routed  back  avatica  server  instance  sadly  necessarily  reality  load  balancer  technology  available  capable  roundrobin  algorithm  similar  need  provide  information  client  make  decision  return  server  upon  subsequent  request  eg  fetching  next  page  result  thinking  generally  server  processed  given  request  general  metadata  could  include  thing  like  avatica  version  real  jdbc  version  information  etc,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
35,create  separate  sqlfunctioncategory  value  table  function  macro  avoids  trying  apply  table  function  context  apply  regular  function  table  function  needed,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,support  inputfiles  currently  support  inputsegmentnumbers  reading  specified  segment  reading  data  one  segment  add  inputfiles  reading  specified  file,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
37,support  absolute  path  without  scheme  loading,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,disk  hotspot  found  data  loading  scenario  currently  done  massive  data  loading  input  data  71gb  csv  formatï¼œand  88million  record  using  carbondata  use  dictionary  encoding  testing  environment  three  node  11  disk  yarn  executor  directory  submit  loading  command  jdbcserverthe  jdbcserver  instance  three  executor  total  one  node  respectively  loading  take  10minutes  3min  vary  time  observed  nmon  information  loading  findï¼š  1  lot  cpu  wait  first  half  loading  2  one  single  disk  many  writes  almost  reach  bottleneck  avg  80ms  max  150ms  sa  disk  3  disk  quite  idel  analyze  data  loading  carbondata  read  sort  data  locallydefault  scope  write  temp  file  local  disk  case  one  executor  one  node  carbondata  write  temp  file  one  diskcontainer  directory  yarn  local  directory  thus  resulting  single  disk  hotspot  modification  support  multiple  directory  writing  temp  file  avoid  disk  hotspot  p  improved  environment  result  pretty  optimistic  loading  take  6minutes  10  minute  improving,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,change  query  related  rdd  use  tableinfo  currently  query  related  rdd  using  carbontable  read  file  system  introduces  unnecessary  file  read  pas  schema  information  driver  serializing  tableinfo,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
40,secure  dictionary  server  port  secure  dictionary  server  port  implementation  single  pas  load  dictionary  key  creation  done  driver  executor  communication  external  port  communication  happen  tcp  communication  secure  encrypted  case  spark  turn  security  parameter  carbon  dictionary  port  also  follows  authentication  encryption  ie  communicate  sasl  authentication  protocol  digestmd5  encryption  pr  make  dictionary  server  client  communication  secure  encrypted  case  spark  turn  security  authentication  parameter  carbon  communication  also  becomes  secure  default  communication  still  non  secure  parameter  sparkauthenticate  true  sparkauthenticateenablesaslencryption  true  sparkauthenticatesecret,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
41,added  tableprovider  supply  carbontable  wherever  needed,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,add  blocklet  info  index  file  make  datamap  distributable  job  add  blocklet  info  index  file  make  datamap  distributable  job  1  add  blocklet  info  carbonindex  file  datamap  required  read  carbondata  file  footer  blocklet  information  make  datamap  loading  faster  2  make  data  map  distributable  add  spark  job  datamap  pruning  could  happen  distributable  pruned  blocklet  list  would  sent  driver,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
43,use  carbontableinputformat  presto  integration  use  carbontableinputformat  presto  integration,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,add  value  based  compression  decimal  data  type  decimal  stored  int  long  added  value  based  compression  decimal  data  type  decimal  stored  int  long  decimal  precision  9  decimal  value  stored  4  byte  compressed  based  min  max  value  compared  primitive  data  type  compression  therefore  based  min  max  value  decimal  data  falling  integer  range  compressed  byte  short  decimal  precision  18  decimal  value  stored  8  byte  compressed  based  min  max  value  compared  primitive  data  type  compression  therefore  based  min  max  value  decimal  data  falling  long  range  compressed  byte  short  int  advantage  reduce  storage  space  thereby  decreasing  io  time  reading  decompressing  data,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
45,carbondata  unsupport  boolean  data  type  sparkhive  table  support  boolean  data  type  internal  table  also  support  boolean  data  type  boolean  data  type  range  true  false  use  quotation  mark  around  true  false  literal  value  write  literal  value  uppercase  lowercase  mixed  case  value  queried  table  always  returned  lowercase  true  false  implementing  function  employ  endcoding  rle  data  expression  byte  array  carbondata  support  boolean  data  type  following  aspect  create  table  support  boolean  data  type  insert  table  value  support  insert  boolean  column  insert  overwrite  insert  table  select  another  table  select  table  load  data  local  csv  file  filter  including  describle  show  boolean  data  type  also  add  test  case  booleantype  directory  spark2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,support  timestamp  68  year  enhance  nodictionary  datatypes  int  long  problem  current  implementation  support  timestamp  direct  dictionary  dictionary  always  integer  68  year  range  supported  solution  issue  support  timestamp  default  dictionaryexclude  allowing  store  internally  unix  long  timestamp  problem  int  bigintlong  type  supported  dictionary  include  measure  allowed  dictionary  exclude  solution  support  int  bigintlong  dictionary  exclude  also  sort  column  support  intlong  bigint  resolved  carbondata1485,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,presto  integration  performance  improvement  presto  integration  performance  improvement  implemented  better  handling  null  stream  reader  added  short  timestamp  reader  resolve  properly  optimized  filter  ensure  better  push,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,get  detailed  blocklet  information  using  default  blockletdatamap  datamaps  detail  information  blocklet  need  exceuting  query  present  blockletdatamap  actually  default  datamap  new  datamap  added  give  information  blocklet  blockid  insuffucient  information  exceute  query  please  add  functionality  retrieve  detailed  blocklet  information  blockletdatamap  based  block  blocklet  id,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
49,support  database  location  configuration  creating  database  support  creation  carbon  table  database  location  support  creation  carbon  table  database  location  please  refer  design  discussion  httpapachecarbondatadevmailinglistarchive1130556n5nabblecomdiscussionsupportdatabaselocationconfigurationwhilecreatingdatabasetd23492html,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
50,add  event  listener  interface  carbondata  add  event  listener  interface  carbondata  allow  extending  current  functionality  various  command  perform  various  operation  example  completion  load  process  aggregate  table  created  table  data  load  operation  need  done  aggregate  table  also  case  create  listener  aggregateloadlistener  register  event  bus  listener  called  load  operation  completed  take  care  loading  aggregate  table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,add  scale  decimal  decimaltype  decimaltype  include  scale  precision  scale  precision  class  member  outside  decimaltype  removed,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
52,merging  carbonindex  file  segment  hi  problem  firsttime  query  carbon  becomes  slow  reading  many  small  carbonindex  file  cache  driver  first  time  many  carbonindex  file  created  case  loading  data  large  cluster  example  cluster  size  100  node  load  100  index  file  created  per  segment  100  load  number  carbonindex  file  becomes  10000  slower  read  file  driver  since  lot  namenode  call  io  operation  solution  merge  carbonindex  file  two  levelsso  reduce  io  call  namenode  improves  read  performance  merge  within  segment  merge  carbonindex  file  single  file  immediately  load  completes  within  segment  would  named  carbonindexmerge  file  actually  true  data  merging  simple  file  merge  current  structure  carbonindex  file  change  reading  read  one  file  instead  many  carbonindex  file  within  segment,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
53,rename  aggtype  measuretype  many  aggtype  code  meaning  clear,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,make  arraytype  structtype  contain  child  datatype,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,filter  optimization  include  filter  give  u  60  block  data  include  filter  converted  exclude  filter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
56,clean  store  path  interface  many  getstorepath  api  unified  one  place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,count  star  optimization  since  carbon  record  number  row  metadata  count  star  query  leverage  improve  performance,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,generivectorizedreader  presto  write  generic  vectorized  reader  presto  remove  dependency  spark,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
59,create  configuration  sparksession  data  loading  create  configuration  form  sparksession  data  loading,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,make  fileoperations  pluggable  1  refactor  filefactory  based  filetype  support  pluggable  file  handler  custom  file  handler  specific  logic  example  user  provide  implementation  extending  existing  filetypes,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,extract  carbontablebuilduniquename  method  refactory  code  invoke  method  extract  carbontablebuilduniquename  method  refactory  code  invoke  method,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,reusing  old  row  reduce  memory  consumption  data  converting  process  data  loading  carbondata  convert  row  another  row  batch  currently  create  new  batch  store  converted  row  think  optimized  reuse  old  row  batch  space  thus  reduce  memory  consumption  gc  overhead,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,refactor  sortsteprowutil  make  readable  refactor  optimize  sortrowsteputil  make  efficient  readable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,support  specify  tablepath  creating  table  user  able  specify  table  path  creating  table,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
65,add  support  tasksegment  level  pruning  add  support  tasksegment  level  pruning  add  code  compute  task  level  minmax  helpful  tasksegment  level  pruning,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,add  dictionary  path  support  carbondata  add  dictionary  path  support  carbondata  dictionary  framework  need  enhanced  support  reading  dictionary  file  given  dictionary  file  location  support  new  table  property  tablepropertiesdictionarypathxxx  allow  providing  external  dictionary  path  table  ex  preaggregate  table  share  dictionary  path  main  table  dictionary  need  created,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,add  transaction  support  preaggregation  table  load  currently  load  process  like  1  load  main  table  2  load  preagg1  write  table  status  3  load  preagg2  write  table  status  4  write  table  status  maintable  improved  process  1  load  main  table  2  load  preagg1  3  load  preagg2  4  write  table  status  preagg2  5  write  table  status  preagg1  6  write  table  status  maintable,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,optimization  readingwriting  sort  temp  row  data  loading  scenario  currently  carbondata  data  loading  sort  process  step  record  sorted  partially  spilled  disk  carbondata  read  record  merge  sort  since  sort  step  cputense  writingreading  record  optimize  serializationdeserialization  row  reduce  cpu  consumption  parsing  row  enhance  data  loading  performance  resolve  pick  unsorted  field  row  pack  byte  array  skip  paring  result  ive  tested  cluster  seen  8  performance  gained  74mbsnode  81mbsnode,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
69,enhancement  merge  index  compaction  feature  support  creation  merge  index  file  old  store  index  file  contain  blocklet  info  enhancement  merge  index  compaction  feature  support  creation  merge  index  file  old  store  index  file  contain  blocklet  info  old  store  created  carbondata  11  version  contain  blocklet  info  index  file  store  merge  index  file  created  blocklet  information  present  merge  index  file  first  time  query  carbondata  file  footer  read  blocklet  information  retrieval  benefit  1  support  merge  index  file  creation  old  store  2  improve  first  time  query  performance  note  first  time  query  performance  improved  merge  index  file  created  running  first  query,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
